dataset,model,paradigm,group_col,group_value,n,accuracy,error_rate,n_cases
BPI20TravelPermitData,tabpfn3,tabular_fm,prefix_length_bucket,11-20,403,0.7270471464019851,0.2729528535980149,343
BPI20TravelPermitData,tabpfn3,tabular_fm,prefix_length_bucket,2,153,0.5032679738562091,0.49673202614379086,153
BPI20TravelPermitData,tabpfn3,tabular_fm,prefix_length_bucket,21-50,71,0.6056338028169014,0.3943661971830986,54
BPI20TravelPermitData,tabpfn3,tabular_fm,prefix_length_bucket,3,170,0.7529411764705882,0.24705882352941178,170
BPI20TravelPermitData,tabpfn3,tabular_fm,prefix_length_bucket,4-5,340,0.6147058823529412,0.3852941176470588,329
BPI20TravelPermitData,tabpfn3,tabular_fm,prefix_length_bucket,6-10,706,0.5793201133144475,0.42067988668555245,637
BPI20TravelPermitData,transformer,sequence,prefix_length_bucket,1,151,0.033112582781456956,0.9668874172185431,151
BPI20TravelPermitData,transformer,sequence,prefix_length_bucket,11-20,403,0.8784119106699751,0.12158808933002485,343
BPI20TravelPermitData,transformer,sequence,prefix_length_bucket,2,153,0.5294117647058824,0.47058823529411764,153
BPI20TravelPermitData,transformer,sequence,prefix_length_bucket,21-50,71,0.7746478873239436,0.22535211267605637,54
BPI20TravelPermitData,transformer,sequence,prefix_length_bucket,3,170,0.7705882352941177,0.22941176470588232,170
BPI20TravelPermitData,transformer,sequence,prefix_length_bucket,4-5,340,0.7529411764705882,0.24705882352941178,329
BPI20TravelPermitData,transformer,sequence,prefix_length_bucket,6-10,706,0.7974504249291785,0.2025495750708215,637
