dataset,task,group_col,group_value,gemma-2-2b,llama32-1b,rnn,saprpt,tabpfn3,transformer,sequence_mean,tabular_fm_mean,llm_mean,tabular_minus_sequence_mae,llm_minus_sequence_mae,tabular_relative_to_sequence_mae,llm_relative_to_sequence_mae,group_value_label
BPI20PrepaidTravelCosts,RT,activity_current,3,0.7804502063061125,0.194990431665251,0.2812363350361436,0.0160533633064385,0.0036877711214611,0.0773831495088548,0.1793097422724992,0.0098705672139498,0.4877203189856817,-0.1694391750585493,0.3084105767131825,0.0550475790598673,2.719987842291844,Payment Handled
BPI12,RT,prefix_length_bucket,21-50,0.7977012530036951,0.8552860265698699,0.6435261761215814,0.7119306291066702,0.7326379912094472,1.1395355889852086,0.891530882553395,0.7222843101580587,0.8264936397867825,-0.1692465723953362,-0.0650372427666124,0.8101618511401372,0.9270499272214304,
BPI12,RT,case_length_bucket,11-20,0.6805171818766547,0.7559279060775512,0.7116292802456883,0.6203678558629594,0.6498636303861675,0.89262844332935,0.8021288617875191,0.6351157431245634,0.718222543977103,-0.1670131186629556,-0.0839063178104161,0.7917876707605657,0.8953954634877075,
BPI20PrepaidTravelCosts,NT,activity_current,23,0.3074930046753185,0.3541842350827121,0.4501873499588905,0.2875463839892934,0.2492131708962161,0.4195403729042992,0.4348638614315948,0.2683797774427547,0.3308386198790153,-0.16648408398884,-0.1040252415525795,0.6171581528049591,0.7607866489293387,Request For Payment REJECTED by ADMINISTRATION
BPI20PrepaidTravelCosts,NT,prefix_length_bucket,1,0.2078271307298357,0.4402943885856489,0.2054600374534796,0.1199527180519714,0.0748805437254679,0.3170551377021977,0.2612575875778387,0.0974166308887196,0.3240607596577423,-0.163840956689119,0.0628031720799036,0.372875795845338,1.2403879353788805,
BPI12,RT,activity_current,25,0.3890042709981837,0.2714554159221244,0.294178915716577,0.2488024371365706,0.2416543054955396,0.5219914359612423,0.4080851758389097,0.2452283713160551,0.3302298434601541,-0.1628568045228546,-0.0778553323787555,0.6009244781115456,0.809217935401092,W_Valideren aanvraag
BPI12,RT,case_length_bucket,6-10,0.1058515299350843,0.090935315560857,0.2541956077543421,0.0371417184488489,0.035691568610865,0.1399259627412218,0.1970607852477819,0.0364166435298569,0.0983934227479707,-0.160644141717925,-0.0986673624998112,0.1847990379418568,0.4993049359072225,
BPI20PrepaidTravelCosts,NT,branching_degree_bucket,"branch_deg_(5.0, 8.0]",0.2611738898289891,0.4837158554388831,0.2929537586360629,0.2275431228205691,0.2142991871010764,0.4688125547875882,0.3808831567118256,0.2209211549608228,0.3724448726339361,-0.1599620017510028,-0.0084382840778894,0.5800234299359441,0.9778454785169882,
BPI12,RT,relative_prefix_bucket,60-80%,0.8455892164879655,0.9310967355753828,0.7118116030952536,0.7746745351498041,0.7958553341033221,1.177469821404484,0.9446407122498688,0.7852649346265631,0.8883429760316741,-0.1593757776233056,-0.0562977362181946,0.8312842379578186,0.9404030172655704,
BPI12,NT,activity_current,14,0.3188193951280335,0.2626367964454599,0.215917310199222,0.0032630027145952,0.0023935735225677,0.1078197672157674,0.1618685387074947,0.0028282881185815,0.2907280957867467,-0.1590402505889132,0.128859557079252,0.017472747583719,1.7960753714599738,O_CANCELLED
BPI20PrepaidTravelCosts,NT,relative_prefix_bucket,60-80%,0.376097135066553,0.4752141071237878,0.3687818663690628,0.3165482869540411,0.2981909284684763,0.5629706794513546,0.4658762729102087,0.3073696077112587,0.4256556210951704,-0.15850666519895,-0.0402206518150383,0.6597666066812121,0.9136666661219076,
BPI12,RT,branching_degree_bucket,"branch_deg_(11.0, 15.0]",0.4396835737594252,0.3366819414484605,0.3267873894538962,0.3036518338758305,0.3016370223643183,0.5885560212028632,0.4576717053283797,0.3026444281200744,0.3881827576039429,-0.1550272772083053,-0.0694889477244368,0.6612696930934956,0.8481685738589007,
BPI20PrepaidTravelCosts,NT,relative_prefix_bucket,40-60%,0.3976035034529943,0.4326090188618277,0.4480674220445815,0.3309651586056595,0.2994252151704695,0.4903788374815608,0.4692231297630712,0.3151951868880644,0.415106261157411,-0.1540279428750067,-0.0541168686056601,0.6717383839266804,0.8846670908295039,
BPI20PrepaidTravelCosts,NT,activity_current,16,0.2086438932525577,0.4702082496073875,0.211498101163118,0.1243107816695573,0.077752896320464,0.293877340044678,0.252687720603898,0.1010318389950107,0.3394260714299726,-0.1516558816088873,0.0867383508260746,0.3998288431014963,1.3432630229074003,Permit SUBMITTED by EMPLOYEE
BPI12,RT,branching_entropy_bucket,"branch_ent_(1.745, 2.639]",0.5031894263767014,0.4413698769793095,0.4348781879283921,0.3894565919511833,0.384181897530344,0.6404443781194474,0.5376612830239198,0.3868192447407637,0.4722796516780054,-0.1508420382831561,-0.0653816313459143,0.7194478325930614,0.8783962442335548,
