dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases,group_value_label
BPI17,rnn,sequence,RT,prefix_length_bucket,11-20,545,0.805207349902335,1.022220727466701,0.667745053768158,1.6284048676490788,-0.5156918316868074,525,
BPI17,rnn,sequence,RT,prefix_length_bucket,2,49,0.8324333779817942,0.9468808047989814,0.8686321973800659,1.4401472091674807,-0.4094474812095262,49,
BPI17,rnn,sequence,RT,prefix_length_bucket,21-50,836,0.41511730431901,0.4015063010944822,0.2586568593978882,1.0793149769306185,-0.2314205704132678,769,
BPI17,rnn,sequence,RT,prefix_length_bucket,3,44,0.80201488411562,0.8693998844509226,0.8797083646059036,1.450959032773972,-0.4229459185153246,44,
BPI17,rnn,sequence,RT,prefix_length_bucket,4-5,105,0.946460729992638,1.257023345415604,0.8752476274967194,1.739955222606659,-0.6438555195617179,104,
BPI17,rnn,sequence,RT,prefix_length_bucket,6-10,248,0.8897252100143247,1.1871623394861384,0.8146710991859436,1.6197840541601185,-0.5438204672398922,245,
BPI17,rnn,sequence,RT,prefix_length_bucket,>50,130,0.2806751826778054,0.1892176775524264,0.1848034709692001,0.5882815051823864,-0.1489101086814816,122,
BPI17,saprpt,tabular_fm,RT,prefix_length_bucket,1,43,1.1697862778118877,1.97753263673394,1.1623397469520569,2.1321760416030884,-1.1484241671860218,43,
BPI17,saprpt,tabular_fm,RT,prefix_length_bucket,11-20,545,1.1340837304170646,2.0589051189897583,0.9226894676685332,2.231115794181824,-1.1019794840850534,525,
BPI17,saprpt,tabular_fm,RT,prefix_length_bucket,2,49,1.223795007154041,2.1891191460277644,1.1322507858276367,2.2168833017349243,-1.201179119473209,49,
BPI17,saprpt,tabular_fm,RT,prefix_length_bucket,21-50,836,0.4730106880590342,0.6011500816082835,0.1738921701908111,1.4869283139705658,-0.4089393740150583,769,
BPI17,saprpt,tabular_fm,RT,prefix_length_bucket,3,44,1.1894884444773195,2.0853228184831654,1.3416953086853027,2.2600621700286867,-1.1298451447351412,44,
BPI17,saprpt,tabular_fm,RT,prefix_length_bucket,4-5,105,1.3201169894697766,2.501253981911024,1.3247355818748474,2.389515948295593,-1.315528549551077,104,
BPI17,saprpt,tabular_fm,RT,prefix_length_bucket,6-10,248,1.2554273935771971,2.334630613590964,1.1517702043056488,2.2560104727745056,-1.2320004849380275,245,
